SGD,SGD K=25,SGD L2,ADAGRAD,RMSPROP,ADAM
58.86666488647461,58.86666488647461,58.86666488647461,16.024999618530273,16.024999618530273,16.024999618530273
69.73332977294922,69.73332977294922,69.73332977294922,21.44999885559082,21.44999885559082,21.44999885559082
75.24166870117188,75.24166870117188,75.24166870117188,25.69999885559082,25.69999885559082,25.69999885559082
79.07499694824219,79.07499694824219,79.07499694824219,29.674999237060547,29.674999237060547,29.674999237060547
81.69166564941406,81.69166564941406,81.69166564941406,33.11666488647461,33.11666488647461,33.11666488647461
83.31666564941406,83.31666564941406,83.31666564941406,36.02499771118164,36.02499771118164,36.02499771118164
84.21666717529297,84.21666717529297,84.21666717529297,38.59166717529297,38.59166717529297,38.59166717529297
85.03333282470703,85.03333282470703,85.03333282470703,41.27499771118164,41.27499771118164,41.27499771118164
85.48332977294922,85.48332977294922,85.48332977294922,43.133331298828125,43.133331298828125,43.133331298828125
85.80833435058594,85.80833435058594,85.80833435058594,45.24166488647461,45.24166488647461,45.24166488647461
86.20833587646484,86.20833587646484,86.20833587646484,47.141666412353516,47.141666412353516,47.141666412353516
86.68333435058594,86.68333435058594,86.68333435058594,48.66666793823242,48.66666793823242,48.66666793823242
86.96666717529297,86.96666717529297,86.96666717529297,49.81666564941406,49.81666564941406,49.81666564941406
87.29166412353516,87.29166412353516,87.29166412353516,50.86666488647461,50.86666488647461,50.86666488647461
87.54166412353516,87.54166412353516,87.54166412353516,51.70833206176758,51.70833206176758,51.70833206176758
87.9000015258789,87.9000015258789,87.9000015258789,52.758331298828125,52.758331298828125,52.758331298828125
88.0999984741211,88.0999984741211,88.0999984741211,53.82500076293945,53.82500076293945,53.82500076293945
88.29166412353516,88.29166412353516,88.29166412353516,54.66666793823242,54.66666793823242,54.66666793823242
88.40833282470703,88.40833282470703,88.40833282470703,55.54999923706055,55.54999923706055,55.54999923706055
88.69166564941406,88.69166564941406,88.69166564941406,56.483333587646484,56.483333587646484,56.483333587646484
88.69999694824219,88.69999694824219,88.69999694824219,57.233333587646484,57.233333587646484,57.233333587646484
88.92499542236328,88.92499542236328,88.92499542236328,57.974998474121094,57.974998474121094,57.974998474121094
88.95833587646484,88.95833587646484,88.95833587646484,58.84166717529297,58.84166717529297,58.84166717529297
89.00833129882812,89.00833129882812,89.00833129882812,59.68333435058594,59.68333435058594,59.68333435058594
89.09166717529297,89.09166717529297,89.09166717529297,60.17499923706055,60.17499923706055,60.17499923706055
89.08333587646484,89.08333587646484,89.08333587646484,60.633331298828125,60.633331298828125,60.633331298828125
89.2249984741211,89.2249984741211,89.2249984741211,61.06666564941406,61.06666564941406,61.06666564941406
89.15833282470703,89.15833282470703,89.15833282470703,61.516666412353516,61.516666412353516,61.516666412353516
89.2249984741211,89.2249984741211,89.2249984741211,61.99166488647461,61.99166488647461,61.99166488647461
