SGD,SGD K=25,SGD L2,ADAGRAD,RMSPROP,ADAM
2.1009310510953267,2.1009310510953267,2.1009310510953267,2.2919075558980304,2.2919075558980304,2.2919075558980304
1.7002938998540242,1.7002938998540242,1.7002938998540242,2.2313081544240316,2.2313081544240316,2.2313081544240316
1.3548339139620462,1.3548339139620462,1.3548339139620462,2.193690471013387,2.193690471013387,2.193690471013387
1.111584672133128,1.111584672133128,1.111584672133128,2.1630037371317545,2.1630037371317545,2.1630037371317545
0.9359727393786113,0.9359727393786113,0.9359727393786113,2.1367018105189004,2.1367018105189004,2.1367018105189004
0.8142552630901336,0.8142552630901336,0.8142552630901336,2.113010464032491,2.113010464032491,2.113010464032491
0.7288081423441569,0.7288081423441569,0.7288081423441569,2.092311918099721,2.092311918099721,2.092311918099721
0.6638329576651255,0.6638329576651255,0.6638329576651255,2.07280411529541,2.07280411529541,2.07280411529541
0.616679622332255,0.616679622332255,0.616679622332255,2.0544342878659565,2.0544342878659565,2.0544342878659565
0.580943464756012,0.580943464756012,0.580943464756012,2.0372783009211224,2.0372783009211224,2.0372783009211224
0.5501892572244008,0.5501892572244008,0.5501892572244008,2.0214736205736794,2.0214736205736794,2.0214736205736794
0.5244755196173986,0.5244755196173986,0.5244755196173986,2.0059939104715983,2.0059939104715983,2.0059939104715983
0.5037986175616582,0.5037986175616582,0.5037986175616582,1.9917888293266297,1.9917888293266297,1.9917888293266297
0.48654545056819914,0.48654545056819914,0.48654545056819914,1.9777962129910787,1.9777962129910787,1.9777962129910787
0.47298328534762063,0.47298328534762063,0.47298328534762063,1.964539617061615,1.964539617061615,1.964539617061615
0.460073393702507,0.460073393702507,0.460073393702507,1.9515650180180868,1.9515650180180868,1.9515650180180868
0.44852093754212063,0.44852093754212063,0.44852093754212063,1.9395433702468872,1.9395433702468872,1.9395433702468872
0.43785289432605107,0.43785289432605107,0.43785289432605107,1.9271357477506001,1.9271357477506001,1.9271357477506001
0.4280330383976301,0.4280330383976301,0.4280330383976301,1.9147152161598207,1.9147152161598207,1.9147152161598207
0.418741534213225,0.418741534213225,0.418741534213225,1.903161496957143,1.903161496957143,1.903161496957143
0.4103649877309799,0.4103649877309799,0.4103649877309799,1.8917576268513998,1.8917576268513998,1.8917576268513998
0.403860575735569,0.403860575735569,0.403860575735569,1.8806219957669577,1.8806219957669577,1.8806219957669577
